dataset,dataset_source,method,seed,status,epochs,train_n,test_n,input_kind,seq_len,classes,embed_dim,heads,layers,device,parameter_count,train_seconds,train_loss_last,learned_alpha_mean,attention_nonzero_ratio_last,peak_memory_mb,accuracy,macro_f1,loss,inference_seconds,nonzero_ratio,wall_seconds_total
fashion_mnist,torchvision:fashion_mnist,entmax15,8,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104970,22.02549739999813,0.5188426971435547,,0.7750270366668701,37.87939453125,0.8065,0.805787120477162,0.5657726313386645,0.4486292999936268,0.7764513790607452,23.796977899997728
fashion_mnist,torchvision:fashion_mnist,entmax15,9,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104970,22.860223900002893,0.5851011872291565,,0.798248291015625,37.87939453125,0.785,0.7773093355617385,0.5901405527478173,0.42556100001093,0.7969577411810557,24.60215779999271
fashion_mnist,torchvision:fashion_mnist,headwise_adaptive_entmax,0,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104978,26.09745629999088,0.3217304944992065,1.5064623951911926,0.7703341245651245,38.73388671875,0.8025,0.8052922728833432,0.55367444952329,0.4364389999827835,0.7681555960859571,27.913646800006973
fashion_mnist,torchvision:fashion_mnist,headwise_adaptive_entmax,1,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104978,30.13427840001532,0.3172974288463592,1.5065760612487793,0.7941879332065582,38.73388671875,0.8035,0.7969629771806725,0.5988943874835968,0.4462836999737192,0.7985416991370065,32.07997560000513
fashion_mnist,torchvision:fashion_mnist,headwise_adaptive_entmax,2,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104978,30.644409900007304,0.4788697063922882,1.5055682063102722,0.79217129945755,38.73388671875,0.799,0.7976412318502446,0.5676894344034649,0.4797839000239037,0.7925960549286434,32.521128199994564
fashion_mnist,torchvision:fashion_mnist,headwise_adaptive_entmax,3,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104978,26.730216500000097,0.6561539769172668,1.5093029141426086,0.7883542478084564,38.73388671875,0.7955,0.7976258073550306,0.5467095417635781,0.4909857000166084,0.7836331129074097,28.603189100016607
fashion_mnist,torchvision:fashion_mnist,headwise_adaptive_entmax,4,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104978,30.840076299995417,0.6139910817146301,1.5097917914390564,0.7147761881351471,38.73388671875,0.8,0.798838767389405,0.5585473988737378,0.5686047000053804,0.7205367173467364,32.89632400000119
fashion_mnist,torchvision:fashion_mnist,headwise_adaptive_entmax,5,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104978,31.159868899994763,0.4874584078788757,1.510196566581726,0.8195988535881042,38.73388671875,0.794,0.7842712543473834,0.5809798269044786,0.4704565000138245,0.8201109241871607,33.02577730000485
fashion_mnist,torchvision:fashion_mnist,headwise_adaptive_entmax,6,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104978,26.41702969998005,0.4533266127109527,1.5089707374572754,0.7527735829353333,38.73388671875,0.7855,0.7861561843894411,0.6018410410199847,0.4097018000029493,0.7441822389761606,28.13362240002607
fashion_mnist,torchvision:fashion_mnist,headwise_adaptive_entmax,7,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104978,30.34869279997656,0.6282217502593994,1.506292998790741,0.7914143800735474,38.73388671875,0.7925,0.7879878661178864,0.5332500012147994,0.4718834000232164,0.7927408729280744,32.18860419999692
